Params: ['300', '40', '0.7', '0.3', '1.0', '0.005'], mean: 30.88932652058328, std: 12.761137921628494
Params: ['300', '40', '0.7', '0.3', '1.0', '0.05'], mean: 26.453470893285623, std: 9.119726113591316
Params: ['300', '40', '0.7', '0.5', '0.01', '0.0005'], mean: 36.92809714496137, std: 22.24412929011465
Params: ['300', '40', '0.7', '0.5', '0.01', '0.005'], mean: 35.860440556873016, std: 24.614041163396305
Params: ['300', '40', '0.7', '0.5', '0.01', '0.05'], mean: 33.879005490840896, std: 12.219135272947225
Params: ['300', '40', '0.7', '0.5', '0.1', '0.0005'], mean: 35.79215904420309, std: 29.344901334343003
Params: ['300', '40', '0.7', '0.5', '0.1', '0.005'], mean: 35.238439657760516, std: 15.698052710361457
Params: ['300', '40', '0.7', '0.5', '0.1', '0.05'], mean: 29.68133806630267, std: 9.82565118336994
Params: ['300', '40', '0.7', '0.5', '1.0', '0.0005'], mean: 26.053712539522984, std: 11.698222379288552
Params: ['300', '40', '0.7', '0.5', '1.0', '0.005'], mean: 38.32234798481966, std: 20.351907400873817
Params: ['300', '40', '0.7', '0.5', '1.0', '0.05'], mean: 36.7014097208534, std: 20.540413417337643
Params: ['300', '40', '0.7', '0.7', '0.01', '0.0005'], mean: 29.925488189945717, std: 11.920245736567287
Params: ['300', '40', '0.7', '0.7', '0.01', '0.005'], mean: 42.113435743274884, std: 21.198148868760192
Params: ['300', '40', '0.7', '0.7', '0.01', '0.05'], mean: 37.86417340867767, std: 14.357982515311235
Params: ['300', '40', '0.7', '0.7', '0.1', '0.0005'], mean: 30.719483855942098, std: 17.211802067495437
Params: ['300', '40', '0.7', '0.7', '0.1', '0.005'], mean: 35.35479075505628, std: 14.948326376430849
Params: ['300', '40', '0.7', '0.7', '0.1', '0.05'], mean: 44.26130240705441, std: 16.536299207040717
Params: ['300', '40', '0.7', '0.7', '1.0', '0.0005'], mean: 41.81848313443656, std: 28.181884970252952
Params: ['300', '40', '0.7', '0.7', '1.0', '0.005'], mean: 36.722690988066255, std: 15.812410265010518
Params: ['300', '40', '0.7', '0.7', '1.0', '0.05'], mean: 31.448896580422957, std: 17.282993229557285
Params: ['300', '40', '0.8', '0.3', '0.01', '0.0005'], mean: 19.701406556306736, std: 10.060542062063126
Params: ['300', '40', '0.8', '0.3', '0.01', '0.005'], mean: 25.7745452475401, std: 12.237614457601326
Params: ['300', '40', '0.8', '0.3', '0.01', '0.05'], mean: 27.310489390818002, std: 10.756926076993706
Params: ['300', '40', '0.8', '0.3', '0.1', '0.0005'], mean: 24.879973793922794, std: 10.330298977774504
Params: ['300', '40', '0.8', '0.3', '0.1', '0.005'], mean: 25.03866154815515, std: 10.368529281964788
Params: ['300', '40', '0.8', '0.3', '0.1', '0.05'], mean: 22.44956596252005, std: 9.48504942630729
Params: ['300', '40', '0.8', '0.3', '1.0', '0.0005'], mean: 26.220864462270004, std: 6.040873183674195
Params: ['300', '40', '0.8', '0.3', '1.0', '0.005'], mean: 20.96137356621707, std: 6.590669097012953
Params: ['300', '40', '0.8', '0.3', '1.0', '0.05'], mean: 19.80697528195539, std: 5.7308386388966115
Params: ['300', '40', '0.8', '0.5', '0.01', '0.0005'], mean: 22.54903997997055, std: 8.644110881193711
Params: ['300', '40', '0.8', '0.5', '0.01', '0.005'], mean: 19.56866808936667, std: 9.547776138255637
Params: ['300', '40', '0.8', '0.5', '0.01', '0.05'], mean: 20.45743030743145, std: 5.983786244231508
Params: ['300', '40', '0.8', '0.5', '0.1', '0.0005'], mean: 18.063358391419392, std: 5.546098256160855
Params: ['300', '40', '0.8', '0.5', '0.1', '0.005'], mean: 15.747840350595197, std: 7.254004083627201
Params: ['300', '40', '0.8', '0.5', '0.1', '0.05'], mean: 20.69275041780333, std: 8.519928687372813
Params: ['300', '40', '0.8', '0.5', '1.0', '0.0005'], mean: 16.419073980888957, std: 4.633901537017127
Params: ['300', '40', '0.8', '0.5', '1.0', '0.005'], mean: 16.277418355911657, std: 7.0852662390979155
Params: ['300', '40', '0.8', '0.5', '1.0', '0.05'], mean: 19.28674439594959, std: 11.787145240489131
Params: ['300', '40', '0.8', '0.7', '0.01', '0.0005'], mean: 25.031408699352106, std: 10.91468705210302
Params: ['300', '40', '0.8', '0.7', '0.01', '0.005'], mean: 23.760668701083752, std: 14.065128499503626
Params: ['300', '40', '0.8', '0.7', '0.01', '0.05'], mean: 17.506277991307805, std: 6.176284215172736
Params: ['300', '40', '0.8', '0.7', '0.1', '0.0005'], mean: 19.658575348284764, std: 8.650540878085076
